temp,KR,number
20.8,132,205
20.9,129,205
20.5,122,207
20.3,122,207
20.4,121,207
19.9,120,207
19.8,120,207
19.7,119,207
20.0,120,207
19.5,118,207
19.4,118,207
19.3,117,207
19.2,115,207
19.1,115,207
20.2,121,207
20.1,119,207
19.6,118,207
20.6,122,207
20.7,125,207
20.8,124,207
20.9,126,207
19.7,142,211
19.6,141,211
19.5,139,211
19.4,138,211
19.3,140,211
19.2,140,211
20.0,140,211
20.1,139,211
20.5,139,211
20.4,142,211
20.3,140,211
20.2,142,211
20.9,145,211
19.8,142,211
19.1,142,211
19.9,142,211
20.7,141,211
20.8,144,211
20.6,142,211
19.8,114,215
20.4,119,215
20.1,118,215
20.0,116,215
20.9,119,215
19.7,115,215
20.5,117,215
20.3,118,215
19.9,117,215
20.2,118,215
20.8,119,215
20.7,120,215
20.6,120,215
19.1,111,215
19.6,115,215
19.5,114,215
19.4,113,215
19.2,113,215
19.3,113,215
19.3,91,218
19.2,88,218
19.9,93,218
19.8,92,218
20.7,105,218
20.9,103,218
20.3,98,218
20.6,101,218
20.8,104,218
20.5,100,218
19.5,91,218
19.4,91,218
19.7,92,218
19.6,92,218
20.1,97,218
20.2,97,218
19.1,89,218
20.4,102,218
20.0,96,218
20.4,138,219
20.2,137,219
20.1,137,219
20.0,137,219
20.3,137,219
20.8,138,219
20.7,139,219
19.1,134,219
20.5,138,219
20.9,139,219
19.2,132,219
19.3,130,219
19.4,133,219
19.5,132,219
19.6,132,219
19.7,134,219
19.8,134,219
19.9,135,219
20.6,139,219
19.5,133,220
20.2,135,220
19.4,134,220
19.7,135,220
20.9,132,220
19.6,136,220
20.1,134,220
19.8,134,220
19.3,135,220
19.9,134,220
19.2,133,220
19.1,133,220
20.3,133,220
20.7,132,220
20.0,134,220
20.6,133,220
20.8,133,220
20.5,133,220
20.4,132,220
20.0,139,221
19.9,138,221
20.4,139,221
20.1,141,221
19.5,139,221
19.4,141,221
19.3,139,221
19.2,140,221
19.1,139,221
19.7,139,221
19.8,139,221
19.6,136,221
20.5,136,221
20.6,137,221
20.7,136,221
20.8,135,221
20.9,134,221
20.3,139,221
20.2,140,221
19.6,148,222
19.7,148,222
19.5,149,222
19.2,150,222
19.3,149,222
19.4,148,222
19.1,148,222
20.7,154,222
20.8,154,222
20.9,155,222
20.3,150,222
20.4,151,222
20.5,152,222
20.6,152,222
